DayofMonth,DayOfWeek,DepTime,CRSDepTime,UniqueCarrier,FlightNum,TailNum,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,ArrDelay
7,1,714,710,WN,1492,N677AA,4,MCO,CMH,802,3,11,-9
7,1,659,700,WN,305,N257WN,-1,SJC,SNA,342,7,13,-3
5,6,1013,1010,WN,103,N464WN,3,LAS,MDW,1521,4,10,-2
6,7,1451,1430,WN,736,N347SW,21,PHX,RNO,601,5,5,12
6,7,2132,2115,WN,1568,N688SW,17,MCI,BNA,491,4,8,13
8,2,1249,1230,WN,914,N617SW,19,MCI,PDX,1481,4,9,19
4,5,1121,1040,WN,658,N735SA,41,MDW,SEA,1733,4,7,24
3,4,837,825,WN,432,N643SW,12,MSY,BWI,998,2,5,24
6,7,1418,1355,WN,303,N641SW,23,AUS,DAL,189,4,10,25
4,5,1703,1620,WN,372,N411WN,43,SAN,SMF,480,3,13,42
4,5,1941,1855,WN,2027,N382SW,46,DAL,ABQ,580,6,7,43
5,6,1656,1555,WN,719,N791SW,61,SAN,LAS,258,6,17,62
4,5,1708,1705,WN,1030,N454WN,3,PVD,MCO,1073,7,7,-23
6,7,724,720,WN,3319,N404WN,4,ISP,PBI,1052,4,7,-23
9,3,706,705,WN,3224,N455WN,1,BWI,PBI,883,4,7,-19
9,3,1420,1425,WN,1582,N473WN,-5,LAS,DEN,629,6,12,-13
4,5,1015,1020,WN,68,N467WN,-5,CMH,MDW,284,11,6,-12
7,1,914,905,WN,79,N248WN,9,OAK,MDW,1844,4,10,-6
4,5,1106,1105,WN,2445,N625SW,1,AUS,HOU,148,3,6,-6
7,1,649,650,WN,2443,N357SW,-1,DAL,AUS,189,5,9,-3
8,2,1729,1735,WN,580,N679AA,-6,TUS,ABQ,321,17,6,0
8,2,742,740,WN,324,N406WN,2,SAN,SJC,417,3,14,5
3,4,1113,1040,WN,33,N525SW,33,MDW,MCI,405,4,8,24
8,2,2049,2015,WN,218,N514SW,34,HOU,ELP,677,3,9,26
4,5,1608,1535,WN,2268,N651SW,33,SJC,SAN,417,3,11,35
6,7,1420,1335,WN,2105,N682SW,45,ONT,SMF,389,4,7,43
8,2,1616,1615,WN,229,N255WN,1,BWI,SDF,495,5,11,-9
7,1,1101,1100,WN,1171,N243WN,1,BUR,LAS,223,5,7,-9
7,1,748,750,WN,1653,N267WN,-2,LAS,LAX,236,7,13,-7
8,2,1301,1300,WN,208,N433LV,1,MDW,BWI,611,3,11,-6
7,1,809,810,WN,112,N501SW,-1,MCI,BNA,491,2,8,-2
9,3,645,645,WN,619,N761RR,0,ELP,PHX,347,4,8,-2
5,6,742,740,WN,2113,N613SW,2,OAK,RNO,180,6,11,2
4,5,1358,1345,WN,1856,N758SW,13,DEN,AUS,775,5,8,7
6,7,1136,1135,WN,2196,N634SW,1,ONT,OAK,361,5,8,11
8,2,706,700,WN,1849,N399WN,6,MHT,PHL,290,12,22,18
5,6,1522,1500,WN,36,N664WN,22,HOU,DAL,239,4,8,22
3,4,1509,1415,WN,1684,N429WN,54,SAN,PHX,304,5,7,39
6,7,2136,2050,WN,582,N323SW,46,OAK,ONT,361,6,8,39
6,7,1744,1700,WN,603,N602SW,44,RDU,PHL,336,4,14,45
6,7,2002,1855,WN,3586,N335SW,67,OAK,SAN,446,3,9,63
7,1,1648,1650,WN,2103,N798SW,-2,BWI,PBI,883,5,9,-28
9,3,1941,1945,WN,362,N222WN,-4,ISP,MCO,972,5,10,-16
8,2,628,630,WN,2473,N298WN,-2,TPA,PBI,174,4,8,-11
6,7,1749,1745,WN,2821,N328SW,4,RDU,BNA,443,3,7,-10
7,1,1051,1045,WN,1756,N283WN,6,PDX,SLC,630,5,9,-8
6,7,746,745,WN,1668,N341SW,1,PDX,SMF,479,5,7,-6
8,2,1610,1610,WN,1156,N385SW,0,ELP,DAL,562,4,7,-3
7,1,1753,1755,WN,1305,N753SW,-2,MCO,PVD,1073,4,17,0
6,7,1959,1955,WN,2183,N638SW,4,AUS,PHX,872,5,8,0
3,4,1409,1355,WN,627,N320SW,14,PHX,TUL,935,3,9,1
4,5,1958,1955,WN,523,N635SW,3,BWI,BDL,283,4,11,3
6,7,1951,1950,WN,1505,N613SW,1,TPA,PVD,1137,5,9,4
5,6,1407,1350,WN,1135,N334SW,17,DAL,ABQ,580,4,7,7
3,4,840,835,WN,3843,N302SW,5,OAK,SAN,446,4,17,10
7,1,1346,1325,WN,2633,N398SW,21,SJC,LAX,308,9,10,20
5,6,1701,1625,WN,1023,N250WN,36,MCO,DTW,957,7,12,26
4,5,1349,1335,WN,1032,N477WN,14,TUS,LAX,451,5,15,30
6,7,1926,1835,WN,1076,N736SA,51,RDU,MDW,632,5,8,38
9,3,1017,930,WN,896,N314SW,47,BWI,PVD,328,5,8,41
3,4,1120,1020,WN,2631,N470WN,60,MDW,MCO,989,3,6,45
5,6,2045,1940,WN,696,N358SW,65,BNA,RDU,443,12,8,71
7,1,1249,1105,WN,1314,N750SA,104,HOU,SAN,1312,3,8,101
4,5,1734,1725,WN,2175,N793SA,9,ISP,PBI,1052,4,11,-17
4,5,1130,1130,WN,888,N606SW,0,BWI,MCO,787,6,8,-16
9,3,1259,1300,WN,521,N632SW,-1,BHM,BWI,682,3,6,-11
6,7,929,920,WN,1481,N292WN,9,HOU,PHX,1020,5,8,-6
4,5,1055,1055,WN,454,N506SW,0,MCI,DEN,533,5,10,-6
8,2,1321,1320,WN,74,N740SW,1,SNA,LAS,226,5,10,-3
5,6,949,950,WN,2031,N662SW,-1,BHM,TPA,460,4,8,-3
4,5,656,655,WN,3230,N332SW,1,HOU,PHX,1020,4,8,-2
4,5,829,825,WN,432,N622SW,4,MSY,BWI,998,2,5,8
8,2,1352,1345,WN,75,N636WN,7,LAX,TUS,451,4,13,9
6,7,1517,1515,WN,1413,N291WN,2,PHX,SNA,338,14,9,10
4,5,1825,1800,WN,882,N214WN,25,BNA,RDU,443,4,8,21
3,4,824,755,WN,2702,N209WN,29,MDW,SEA,1733,5,13,24
4,5,1416,1255,WN,2354,N716SW,81,LAS,PDX,762,3,11,58
3,4,2004,1900,WN,303,N683SW,64,LAX,OAK,337,4,13,72
6,7,641,645,WN,227,N715SW,-4,LAS,MDW,1521,3,9,-32
7,1,702,705,WN,477,N730SW,-3,SFO,MDW,1855,5,7,-31
7,1,2031,2035,WN,2300,N278WN,-4,MCO,STL,880,4,6,-20
5,6,654,655,WN,3133,N732SW,-1,BDL,MCO,1050,16,12,-19
8,2,1835,1840,WN,717,N485WN,-5,ISP,BWI,220,3,10,-13
8,2,1930,1925,WN,2467,N717SA,5,SEA,SMF,605,4,9,-11
8,2,1808,1815,WN,548,N289CT,-7,PIT,PHL,267,5,17,-10
8,2,728,725,WN,2620,N263WN,3,MCO,BDL,1050,3,10,-10
9,3,642,645,WN,144,N718SW,-3,HOU,BNA,670,6,7,-10
9,3,1247,1245,WN,3759,N716SW,2,LAS,BWI,2106,3,24,-9
5,6,1726,1715,WN,2789,N268WN,11,MDW,PHL,668,14,9,-9
4,5,559,600,WN,277,N358SW,-1,LAX,PHX,370,3,12,-8
8,2,1426,1425,WN,1582,N311SW,1,LAS,DEN,629,10,11,-5
4,5,1545,1545,WN,2362,N412WN,0,BWI,BDL,283,4,8,-4
9,3,700,700,WN,222,N398SW,0,AUS,BNA,756,5,8,-2
7,1,2015,2015,WN,881,N630WN,0,BWI,CLE,314,4,11,-2
4,5,909,910,WN,19,N528SW,-1,MCI,DAL,461,5,12,0
6,7,843,840,WN,790,N728SW,3,LAS,LAX,236,9,9,2
5,6,1850,1840,WN,3256,N367SW,10,MCO,IND,828,6,13,3
6,7,1533,1530,WN,37,N611SW,3,DAL,HOU,239,3,7,10
4,5,1347,1340,WN,137,N304SW,7,SAN,SMF,480,4,14,10
5,6,1308,1300,WN,718,N476WN,8,FLL,MCO,178,5,26,10
6,7,1018,1005,WN,1236,N631SW,13,TPA,PIT,873,6,7,12
6,7,1605,1525,WN,3576,N679AA,40,BUF,TPA,1054,4,7,19
5,6,1659,1630,WN,105,N731SA,29,OAK,SNA,371,4,10,21
9,3,2125,2050,WN,3331,N205WN,35,DEN,SLC,391,3,17,32
3,4,1523,1435,WN,1276,N265WN,48,MDW,RNO,1680,5,8,44
6,7,1608,1520,WN,2192,N682SW,48,SMF,LAS,397,5,30,76
6,7,1616,1330,WN,151,N460WN,166,GEG,SEA,224,3,11,160
8,2,937,940,WN,687,N607SW,-3,PHL,MCO,861,5,20,-30
8,2,641,645,WN,1223,N425LV,-4,BWI,FLL,925,3,8,-24
8,2,615,620,WN,1396,N330SW,-5,BWI,JAX,663,4,9,-23
7,1,607,610,WN,762,N220WN,-3,PDX,OAK,543,6,7,-22
5,6,1326,1330,WN,810,N415WN,-4,TPA,IND,838,7,7,-16
8,2,1706,1710,WN,3841,N447WN,-4,MDW,HOU,937,3,7,-15
9,3,1343,1345,WN,901,N368SW,-2,HOU,ABQ,759,4,7,-14
8,2,1042,1045,WN,419,N756SA,-3,SJC,LAS,386,6,7,-12
9,3,631,635,WN,3658,N226WN,-4,BWI,BDL,283,3,7,-11
5,6,1310,1300,WN,687,N341SW,10,MCO,AUS,993,4,16,-5
7,1,1504,1505,WN,1257,N505SW,-1,MDW,MCI,405,4,10,4
8,2,1826,1815,WN,219,N421LV,11,CMH,LAS,1772,4,7,5
8,2,1643,1635,WN,706,N716SW,8,DEN,MCO,1545,6,10,8
6,7,1434,1400,WN,1192,N461WN,34,MDW,MSY,825,2,9,19
3,4,1534,1510,WN,71,N312SW,24,SMF,LAX,373,6,8,20
4,5,1630,1600,WN,3587,N287WN,30,MDW,CLE,307,4,19,27
5,6,1407,1350,WN,2804,N738CB,17,FLL,JAX,318,6,30,30
6,7,1400,1335,WN,1032,N309SW,25,TUS,LAX,451,9,5,30
4,5,1441,1430,WN,1112,N433LV,11,SAN,OAK,446,27,12,33
5,6,933,935,WN,1245,N376SW,-2,STL,PHX,1262,7,10,-18
3,4,701,700,WN,85,N688SW,1,LAS,DEN,629,9,7,-14
7,1,1021,1025,WN,3754,N481WN,-4,RSW,MCO,133,4,6,-13
6,7,2100,2100,WN,1156,N690SW,0,STL,BWI,737,3,8,-12
8,2,558,600,WN,102,N331SW,-2,LAS,PHX,256,4,8,-12
8,2,1610,1610,WN,1600,N344SW,0,PHX,SAN,304,4,5,-6
6,7,2121,2120,WN,55,N528SW,1,HOU,HRL,276,2,5,-5
5,6,1550,1550,WN,1430,N527SW,0,TUL,STL,351,4,7,-4
9,3,750,755,WN,2108,N257WN,-5,BNA,JAX,484,5,7,-4
5,6,720,720,WN,212,N288WN,0,TPA,PVD,1137,6,9,-2
6,7,1520,1505,WN,201,N294WN,15,PHL,MDW,668,3,8,-1
3,4,1049,1040,WN,2280,N352SW,9,LAS,ELP,584,3,15,0
7,1,1042,1040,WN,2201,N663SW,2,ONT,SMF,389,5,8,2
4,5,640,635,WN,208,N285WN,5,SEA,MDW,1733,6,19,2
9,3,1253,1255,WN,2354,N792SW,-2,LAS,PDX,762,12,12,9
3,4,2118,2100,WN,623,N724SW,18,MSY,HOU,303,3,6,12
3,4,2033,2010,WN,3600,N686SW,23,SMF,SEA,605,4,9,15
3,4,1804,1730,WN,2115,N758SW,34,SNA,SMF,404,3,8,26
4,5,2027,1915,WN,1009,N710SW,72,MDW,SFO,1855,5,16,78
4,5,1858,1720,WN,1394,N431WN,98,IAD,MDW,577,6,9,85
6,7,803,805,WN,1765,N717SA,-2,MDW,MCO,989,5,10,-17
8,2,1615,1615,WN,1082,N392SW,0,PHL,RSW,992,5,17,-16
7,1,802,805,WN,2110,N713SW,-3,BWI,BNA,588,6,13,-15
8,2,1932,1935,WN,802,N404WN,-3,LAS,SAT,1069,3,9,-14
9,3,733,735,WN,3231,N286WN,-2,IAD,TPA,810,3,14,-10
8,2,1030,1020,WN,1066,N648SW,10,TPA,MDW,997,3,9,-10
4,5,645,645,WN,1006,N267WN,0,GEG,BOI,287,3,8,-6
6,7,1740,1740,WN,160,N489WN,0,AUS,LBB,341,3,10,-6
8,2,626,625,WN,296,N692SW,1,SLC,SEA,689,5,19,-5
4,5,1725,1725,WN,830,N684WN,0,BNA,JAX,484,7,9,-4
7,1,1138,1130,WN,130,N349SW,8,OKC,DEN,495,7,7,5
4,5,731,730,WN,3229,N250WN,1,FLL,TPA,197,3,20,7
3,4,1648,1645,WN,365,N664WN,3,MCO,BDL,1050,4,9,9
6,7,1511,1435,WN,179,N495WN,36,SAN,BNA,1751,4,9,20
4,5,826,755,WN,3320,N678AA,31,OAK,MCI,1489,4,10,20
7,1,1231,1215,WN,337,N268WN,16,SEA,GEG,224,4,19,21
3,4,2049,2015,WN,773,N472WN,34,TPA,FLL,197,6,7,31
6,7,638,630,WN,3170,N414WN,8,TUS,MDW,1440,4,8,-16
4,5,1430,1430,WN,1188,N418WN,0,MDW,SAN,1728,2,7,-13
3,4,648,650,WN,2972,N634SW,-2,LAS,MCI,1140,4,14,-12
5,6,1747,1745,WN,25,N360SW,2,MCO,MHT,1142,2,8,-11
7,1,1312,1315,WN,956,N525SW,-3,HOU,OKC,419,3,8,-8
7,1,1557,1600,WN,132,N528SW,-3,TUL,HOU,453,4,7,-4
3,4,958,1000,WN,63,N768SW,-2,SDF,BHM,323,8,9,-4
4,5,1245,1245,WN,449,N513SW,0,OKC,HOU,419,2,7,-3
7,1,1850,1855,WN,572,N741SA,-5,SAT,DAL,248,4,11,0
8,2,1436,1435,WN,872,N423WN,1,LAS,ONT,197,5,14,0
5,6,1855,1845,WN,117,N314SW,10,DAL,MSY,437,2,7,2
8,2,1627,1625,WN,225,N636WN,2,TUS,LAX,451,7,8,3
6,7,1103,1050,WN,324,N277WN,13,RNO,MDW,1680,5,18,3
6,7,651,645,WN,154,N486WN,6,SEA,PHX,1107,10,12,4
8,2,820,820,WN,387,N278WN,0,MDW,CLE,307,5,17,4
4,5,1144,1135,WN,689,N443WN,9,MSY,HOU,303,3,8,4
9,3,620,620,WN,2613,N764SW,0,ABQ,PHX,328,4,15,5
6,7,1407,1400,WN,32,N201LV,7,HOU,DAL,239,3,10,5
8,2,658,700,WN,126,N369SW,-2,LAS,OAK,407,4,14,7
8,2,1302,1300,WN,27,N527SW,2,DAL,HOU,239,3,11,7
4,5,817,815,WN,783,N396SW,2,SAN,OAK,446,3,17,19
7,1,1334,1300,WN,28,N675AA,34,HOU,DAL,239,3,7,28
7,1,1951,1915,WN,3232,N472WN,36,MDW,IAD,577,4,8,48
5,6,1243,1120,WN,882,N729SW,83,OAK,BNA,1959,4,14,86
6,7,1405,1125,WN,2009,N626SW,160,STL,HOU,687,5,6,157
6,7,954,955,WN,171,N779SW,-1,BWI,MCO,787,10,7,-26
5,6,710,705,WN,477,N710SW,5,SFO,MDW,1855,4,15,-17
4,5,1712,1715,WN,3493,N288WN,-3,PHL,PVD,238,6,15,-11
3,4,1635,1630,WN,426,N360SW,5,MCO,MSY,550,3,10,-10
5,6,1646,1640,WN,102,N688SW,6,BNA,MCI,491,4,6,-7
7,1,1903,1850,WN,789,N446WN,13,PDX,PHX,1009,4,7,-7
4,5,648,650,WN,81,N236WN,-2,BNA,PHL,675,4,12,-6
4,5,1339,1340,WN,323,N624SW,-1,BWI,ALB,288,3,10,-5
8,2,911,905,WN,79,N488WN,6,OAK,MDW,1844,7,10,-5
4,5,1037,1040,WN,2976,N271WN,-3,ABQ,PHX,328,7,10,-2
5,6,1650,1650,WN,3584,N285WN,0,CMH,MDW,284,4,6,0
7,1,1328,1325,WN,458,N735SA,3,PIT,PHX,1813,6,12,0
6,7,1438,1440,WN,1331,N613SW,-2,JAX,BWI,663,3,10,0
4,5,849,825,WN,2379,N353SW,24,PHL,PBI,951,5,15,3
5,6,1248,1245,WN,3151,N313SW,3,CLE,BWI,314,2,10,4
3,4,1211,1205,WN,1194,N664WN,6,MSY,FLL,673,5,5,8
9,3,2136,2125,WN,900,N446WN,11,LAS,OAK,407,8,11,9
5,6,844,845,WN,268,N770SA,-1,SAT,HOU,192,4,7,11
5,6,1316,1300,WN,1397,N469WN,16,ISP,MCO,972,6,18,13
4,5,1022,1010,WN,1016,N742SW,12,LAS,SNA,226,4,17,15
8,2,1501,1445,WN,120,N341SW,16,LAS,SAT,1069,6,18,18
6,7,853,840,WN,118,N752SW,13,MDW,LAX,1750,7,12,23
4,5,2037,2015,WN,3743,N276WN,22,SLC,OAK,588,8,10,24
4,5,1709,1645,WN,2802,N745SW,24,TPA,FLL,197,6,16,29
4,5,740,705,WN,3675,N766SW,35,MDW,RDU,632,3,9,30
3,4,2103,2020,WN,3063,N551WN,43,MDW,RDU,632,3,13,40
8,2,1041,1000,WN,781,N310SW,41,BOI,LAS,520,4,20,48
6,7,1717,1610,WN,775,N336SW,67,ONT,SMF,389,4,5,59
7,1,652,655,WN,3133,N447WN,-3,BDL,MCO,1050,18,9,-20
6,7,801,755,WN,2702,N258WN,6,MDW,SEA,1733,8,6,-13
6,7,845,850,WN,466,N769SW,-5,MDW,BWI,611,3,8,-11
4,5,805,805,WN,2976,N271WN,0,MCO,ABQ,1552,4,17,-7
7,1,1138,1135,WN,3237,N790SW,3,ALB,LAS,2237,4,9,-6
4,5,1028,1030,WN,3062,N460WN,-2,BWI,BDL,283,4,12,-6
5,6,1157,1125,WN,1668,N460WN,32,LAX,MCI,1363,4,9,0
7,1,1518,1520,WN,700,N331SW,-2,AUS,PHX,872,6,10,0
4,5,1009,1010,WN,21,N527SW,-1,LBB,DAL,293,3,9,0
5,6,954,955,WN,2621,N637SW,-1,MCO,RDU,534,3,9,1
8,2,1433,1435,WN,2361,N690SW,-2,STL,DAL,546,4,23,10
6,7,1301,1245,WN,1920,N399WN,16,BNA,BWI,588,3,10,14
7,1,2022,1955,WN,753,N285WN,27,PHX,LIT,1136,5,8,15
3,4,1502,1455,WN,3240,N282WN,7,PHX,OAK,646,5,14,15
3,4,730,720,WN,889,N235WN,10,MCO,BWI,787,3,10,15
4,5,1612,1550,WN,2871,N249WN,22,MDW,ABQ,1121,4,18,18
4,5,2037,2000,WN,421,N274WN,37,MDW,SEA,1733,7,8,22
6,7,1251,1245,WN,1609,N781WN,6,SAT,LAX,1210,30,8,23
4,5,1531,1455,WN,374,N439WN,36,PIT,PHL,267,4,11,24
5,6,1633,1550,WN,2525,N746SW,43,OAK,SAN,446,4,10,30
4,5,1724,1700,WN,1061,N212WN,24,LAX,OAK,337,5,16,30
3,4,1912,1840,WN,3256,N659SW,32,MCO,IND,828,8,23,44
6,7,2101,2010,WN,1485,N253WN,51,LAX,SLC,590,10,7,45
3,4,958,900,WN,1574,N791SW,58,JAX,TPA,180,4,14,62
6,7,1646,1525,WN,1865,N409WN,81,SNA,LAS,226,8,16,92
8,2,1015,1015,WN,2354,N268WN,0,MCO,LAS,2039,5,8,-10
6,7,753,745,WN,928,N756SA,8,MCO,STL,880,3,11,-9
4,5,708,705,WN,902,N388SW,3,RSW,MDW,1105,4,7,-9
9,3,1100,1100,WN,1171,N606SW,0,BUR,LAS,223,5,6,-9
6,7,1359,1335,WN,3405,N740SW,24,PVD,TPA,1137,5,7,-9
7,1,1651,1650,WN,2899,N622SW,1,LAX,SLC,590,4,6,-8
8,2,1909,1910,WN,160,N442WN,-1,LBB,ABQ,289,4,8,-6
8,2,922,920,WN,5,N611SW,2,HOU,HRL,276,1,7,-5
8,2,1456,1455,WN,2795,N321SW,1,PVD,BWI,328,4,6,-1
5,6,929,930,WN,3859,N466WN,-1,BUR,SJC,296,4,7,0
5,6,1113,1100,WN,2382,N743SW,13,LAS,LBB,775,3,16,3
7,1,1224,1225,WN,1654,N639SW,-1,DTW,MDW,229,3,22,7
4,5,1455,1445,WN,559,N506SW,10,SEA,LAS,866,8,13,21
6,7,1650,1625,WN,303,N641SW,25,OKC,PHX,833,6,7,26
4,5,1729,1655,WN,3048,N601WN,34,LAX,TUS,451,3,15,35
4,5,1335,1255,WN,3502,N392SW,40,OAK,RNO,180,5,8,39
6,7,2040,2000,WN,2093,N430WN,40,SNA,OAK,371,16,10,57
7,1,1958,1905,WN,3568,N462WN,53,MDW,AUS,972,4,9,64
8,2,1021,1025,WN,2293,N717SA,-4,RDU,TPA,587,3,5,-23
9,3,908,910,WN,2360,N630WN,-2,DEN,SLC,391,9,10,-15
9,3,1458,1500,WN,74,N464WN,-2,LAS,MDW,1521,4,16,-13
8,2,842,840,WN,1236,N654SW,2,FLL,TPA,197,5,8,-8
7,1,1155,1200,WN,2972,N619SW,-5,MCI,STL,237,3,12,-7
7,1,1714,1715,WN,2091,N464WN,-1,OAK,MDW,1844,7,9,-5
8,2,1850,1850,WN,102,N331SW,0,MCI,SMF,1442,5,7,-4
4,5,1220,1220,WN,223,N203WN,0,BHM,MSY,321,3,11,-3
7,1,746,740,WN,1481,N463WN,6,MSY,HOU,303,6,8,0
5,6,2133,2110,WN,1895,N411WN,23,SJC,PHX,621,5,5,2
6,7,1155,1155,WN,573,N269WN,0,LBB,LAS,775,6,9,3
5,6,1400,1400,WN,734,N623SW,0,ABQ,PHX,328,17,10,7
6,7,1250,1250,WN,3245,N737JW,0,ABQ,MCO,1552,8,15,7
3,4,722,705,WN,2549,N622SW,17,PDX,SLC,630,4,7,10
8,2,838,825,WN,432,N677AA,13,MSY,BWI,998,2,9,13
4,5,1309,1255,WN,3430,N737JW,14,LAS,RNO,345,3,15,15
7,1,1652,1615,WN,578,N796SW,37,SFO,LAX,337,7,8,18
7,1,1822,1815,WN,574,N661SW,7,ABQ,SAN,628,3,8,19
5,6,1549,1515,WN,2645,N649SW,34,ONT,SJC,333,3,7,33
7,1,758,715,WN,19,N521SW,43,MDW,MCI,405,3,9,44
6,7,1146,1155,WN,1308,N610WN,-9,MCO,MCI,1072,4,14,-30
3,4,636,635,WN,2275,N454WN,1,ISP,FLL,1093,5,13,-24
7,1,601,600,WN,2813,N219WN,1,PHX,MDW,1444,4,10,-23
3,4,1620,1620,WN,810,N648SW,0,IND,MCI,451,3,6,-16
5,6,1105,1105,WN,832,N449WN,0,SAN,SAT,1129,3,11,-13
8,2,841,845,WN,1774,N475WN,-4,LAS,BWI,2106,4,12,-13
8,2,618,615,WN,891,N408WN,3,MDW,LAS,1521,5,11,-12
9,3,1255,1300,WN,27,N514SW,-5,DAL,HOU,239,3,6,-11
8,2,628,630,WN,128,N462WN,-2,AUS,DAL,189,4,8,-10
8,2,935,935,WN,2639,N446WN,0,OAK,GEG,723,5,14,-9
7,1,735,730,WN,550,N791SW,5,ISP,LAS,2283,4,6,-6
7,1,1535,1535,WN,574,N661SW,0,TUL,DAL,237,3,6,-4
5,6,920,920,WN,353,N714CB,0,MCI,MDW,405,3,11,-3
7,1,723,710,WN,515,N901WN,13,SEA,DEN,1024,8,12,-1
8,2,1620,1620,WN,2900,N630WN,0,MDW,MCI,405,5,10,0
7,1,1802,1800,WN,966,N354SW,2,ONT,SMF,389,5,8,1
6,7,1105,1105,WN,2735,N288WN,0,SNA,OAK,371,5,7,6
4,5,1029,1025,WN,3754,N707SA,4,RSW,MCO,133,11,15,9
4,5,1145,1135,WN,259,N484WN,10,PHX,SNA,338,3,24,18
5,6,2013,1940,WN,897,N773SA,33,SLC,LAX,590,8,9,33
4,5,1512,1435,WN,1318,N486WN,37,PHX,LAS,256,5,12,36
4,5,2010,1905,WN,242,N343SW,65,OMA,PHX,1037,6,8,45
8,2,728,630,WN,1235,N466WN,58,MCI,DEN,533,6,8,49
8,2,1551,1555,WN,3480,N217JC,-4,ISP,MCO,972,6,11,-14
6,7,1005,1010,WN,146,N504SW,-5,SAT,DAL,248,5,7,-2
8,2,1736,1730,WN,46,N431WN,6,HOU,DAL,239,2,7,-1
3,4,1646,1630,WN,421,N746SW,16,PVD,BWI,328,3,9,0
8,2,1643,1625,WN,337,N901WN,18,SLC,MDW,1258,8,7,2
9,3,951,945,WN,689,N498WN,6,BNA,MSY,471,3,8,2
8,2,650,640,WN,195,N479WN,10,MDW,HOU,937,4,8,3
6,7,1015,1020,WN,2272,N476WN,-5,IND,MDW,162,4,11,6
5,6,1956,1945,WN,1005,N608SW,11,DAL,LBB,293,2,9,8
4,5,1603,1550,WN,231,N402WN,13,HOU,AUS,148,5,10,12
6,7,1510,1455,WN,2442,N770SA,15,PHX,SAN,304,3,13,24
3,4,1906,1840,WN,2211,N646SW,26,SEA,LAS,866,7,12,25
7,1,1021,955,WN,502,N338SW,26,PHX,SJC,621,2,32,42
3,4,1943,1905,WN,2336,N487WN,38,PHX,OAK,646,4,10,42
5,6,1512,1425,WN,416,N454WN,47,LAX,LAS,236,12,7,43
6,7,2212,2125,WN,1131,N361SW,47,TUS,LAS,365,6,6,47
3,4,1243,1140,WN,2979,N901WN,63,MDW,LAX,1750,7,6,50
9,3,1755,1800,WN,1682,N270WN,-5,GEG,LAS,806,4,9,-33
